name,X,Y,Z,V_x,V_y,V_z,mass
sun,-0.006952195302378955,0.005734823989453719,0.0001152584004550921,-6.529953861149099e-06,-6.191749798759419e-06,2.098462788930136e-07,1.9885e+30
mercury,-0.3741746315299771,0.06765368129919729,0.03886060871091548,-0.01052456936594837,-0.0265419103401497,-0.001203364945013452,3.302e+23
venus,0.3922989527828218,-0.602432920965753,-0.03126981544647901,0.01676651091377753,0.01102297695985278,-0.0008163325163152593,4.8685e+24
earth,-0.8280467654456376,0.5547156646921019,9.451380501300605e-05,-0.009849496844309732,-0.01437989016866239,7.593584011311361e-07,5.97219e+24
mars,0.02740569395402376,1.571657589893021,0.03208785203008232,-0.013467528155662,0.001488277021628397,0.0003617370065947963,6.4171e+23
jupiter,3.296054406724019,-3.854372250017679,-0.05775160505862512,0.005642877728841944,0.005260888957045315,-0.0001480518004575926,1.89813e+27
saturn,5.677767010518504,-8.19626311520404,-0.08353025657771868,0.004275439379843544,0.003163383978806266,-0.0002253053202892727,5.6834e+26
uranus,15.22987500475264,12.59623199339928,-0.1505222235277656,-0.002535588083269963,0.002847538171051263,4.330902395319256e-05,8.6813e+25
neptune,29.47728578789435,-5.085834910400083,-0.5746012874729313,0.0005129114433273687,0.003111677804109056,-7.626376058161224e-05,1.0241e+26
pluto,14.1859396998804,-31.12429895679404,-0.7729175281573772,0.00294028659931925,0.0006340456996250977,-0.0009224630271532847,1.307e+22
